"Name","Year","Height","Weight","Lang_choice","English","Math","Language","History","Physics","Chemistry","Biology","Art"
"Student 1",2010,179,85,"Hindi",69,76,67,68,44,56,64,78
"Student 2",2010,173,87,"Hindi",73,58,73,57,82,72,78,38
"Student 3",2010,172,60,"French",62,67,75,67,75,97,83,60
"Student 4",2010,174,88,"Spanish",81,100,63,64,78,68,71,86
"Student 5",2010,173,68,"German",70,69,51,73,80,74,76,61
"Student 6",2010,173,64,"Spanish",67,60,72,73,83,81,75,76
"Student 7",2010,170,57,"Hindi",55,86,68,83,63,79,72,77
"Student 8",2010,167,63,"German",75,62,76,75,74,67,78,54
"Student 9",2010,172,86,"German",74,82,77,57,78,81,67,55
"Student 10",2010,174,83,"Spanish",83,100,71,71,93,80,81,55
"Student 11",2010,169,65,"Hindi",71,43,80,71,82,64,72,79
"Student 12",2010,161,75,"German",79,97,75,62,72,67,95,88
"Student 13",2010,171,52,"Hindi",91,88,68,72,94,100,69,69
"Student 14",2010,170,59,"French",81,66,59,47,75,67,86,58
"Student 15",2010,172,66,"German",82,81,75,69,92,85,80,61
"Student 16",2010,171,81,"Hindi",79,86,65,74,49,59,76,78
"Student 17",2010,168,68,"German",52,56,80,68,78,87,72,72
"Student 18",2010,176,76,"Spanish",58,83,72,53,100,73,70,73
"Student 19",2010,176,72,"French",64,44,70,54,95,71,88,76
"Student 20",2010,167,68,"Spanish",91,74,74,71,75,95,83,59
"Student 21",2010,174,82,"Spanish",73,67,70,67,72,74,78,60
"Student 22",2010,173,66,"Hindi",76,75,68,59,93,67,73,76
"Student 23",2010,176,63,"Spanish",75,81,61,61,64,72,79,61
"Student 24",2010,162,71,"Hindi",69,100,66,60,80,85,95,66
"Student 25",2010,180,114,"Spanish",77,68,75,69,73,89,91,84
"Student 26",2010,183,92,"French",91,70,74,57,43,85,92,67
"Student 27",2010,176,74,"French",59,56,70,71,57,86,75,69
"Student 28",2010,173,73,"Hindi",64,73,62,75,99,82,81,82
"Student 29",2010,172,80,"Spanish",90,98,79,57,63,75,68,69
"Student 30",2010,168,62,"Spanish",76,85,60,71,79,68,70,63
"Student 31",2010,170,54,"German",62,97,60,63,78,99,74,48
"Student 32",2010,171,52,"Hindi",77,98,64,57,89,67,75,46
"Student 33",2010,173,71,"Spanish",78,71,69,68,80,72,86,76
"Student 34",2010,176,91,"Hindi",65,90,64,60,89,63,88,53
"Student 35",2010,176,71,"French",67,80,78,53,77,72,84,85
"Student 36",2010,175,66,"Spanish",56,97,88,71,82,89,68,61
